-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              gloo:recv         0.00%       0.000us         0.00%       0.000us       0.000us        1.248s       105.93%        1.248s      38.999ms            32  
ncclDevKernel_Generic_4(ncclDevKernelArgsStorage<102...         0.00%       0.000us         0.00%       0.000us       0.000us     390.947ms        33.18%     390.947ms     101.809us          3840  
                                       scaled_mm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     303.357ms        25.75%     303.357ms      59.249us          5120  
                                       fused_moe_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      95.246ms         8.08%      95.246ms      37.205us          2560  
void at::native::sbtopk::gatherTopK<float, unsigned ...         0.00%       0.000us         0.00%       0.000us       0.000us      89.534ms         7.60%      89.534ms      24.068us          3720  
void vllm::dynamic_scaled_int8_quant_kernel<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us      33.831ms         2.87%      33.831ms       6.608us          5120  
Cijk_Alik_Bljk_SB_MT16x16x32_SE_AMAS3_BL1_DRB16_ALT_...         0.00%       0.000us         0.00%       0.000us       0.000us      26.653ms         2.26%      26.653ms      21.494us          1240  
                    vllm::unified_attention_with_output        28.77%     381.241ms        34.31%     454.550ms     355.117us      25.050ms         2.13%      25.050ms      19.570us          1280  
                                               aten::mm         0.27%       3.575ms         0.33%       4.314ms     134.799us      20.865ms         1.77%      20.865ms     652.029us            32  
Cijk_Alik_Bljk_BBH_MT64x32x64_SE_AMAS3_BL1_DRB16_ALT...         0.00%       0.000us         0.00%       0.000us       0.000us      20.279ms         1.72%      20.279ms     633.715us            32  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.843ms         1.68%      19.843ms     640.084us            31  
                            kernel_unified_attention_3d         0.00%       0.000us         0.00%       0.000us       0.000us      15.839ms         1.34%      15.839ms      12.773us          1240  
                                  _per_token_quant_int8         0.00%       0.000us         0.00%       0.000us       0.000us      15.168ms         1.29%      15.168ms       5.925us          2560  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      14.238ms         1.21%      14.238ms      11.123us          1280  
                                     record_param_comms         0.63%       8.324ms         0.91%      12.005ms     125.055us      14.147ms         1.20%      14.147ms     147.366us            96  
ncclDevKernel_AllGather_Ring_Simple_Sum_i8(ncclDevKe...         0.00%       0.000us         0.00%       0.000us       0.000us      14.147ms         1.20%      14.147ms     147.366us            96  
                                  nccl:_all_gather_base         0.00%       0.000us         0.00%       0.000us       0.000us      14.147ms         1.20%      14.147ms     147.366us            96  
